hashed_id,Submission id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
ac538ce8fbaa,67cf04abcfb4243a8fc2ee3a,APPROVED,Not Applicable,2025-03-10T15:27:03Z,2025-03-10T15:41:15Z,2025-03-10T15:41:21Z,2025-03-10T15:41:16Z,853,CLKQ470I,4918,English,34,Male,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
4e107c221f9b,67cf04adc136391f8f0caf38,APPROVED,Not Applicable,2025-03-10T15:26:45Z,2025-03-10T15:39:06Z,2025-03-10T15:39:09Z,2025-03-10T15:39:08Z,742,CLKQ470I,3680,English,47,Male,White,United States,United States,United States,English,No,Full-Time
6991698588c3,67cf04b5c33583589d20760e,APPROVED,Not Applicable,2025-03-10T15:26:51Z,2025-03-10T15:31:29Z,2025-03-10T15:31:30Z,2025-03-10T15:31:30Z,279,CLKQ470I,481,English,41,Female,White,United States,United States,United States,English,No,Part-Time
11c06987efd1,67cf04bde2fec2bf5218d075,APPROVED,Not Applicable,2025-03-10T15:27:15Z,2025-03-10T15:33:33Z,2025-03-10T15:33:34Z,2025-03-10T15:33:34Z,379,CLKQ470I,397,English,19,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
b6628cd2a55c,67cf04c0cb320965a85f93d3,APPROVED,Not Applicable,2025-03-10T15:27:23Z,2025-03-10T15:33:45Z,2025-03-10T15:33:46Z,2025-03-10T15:33:46Z,383,CLKQ470I,25,"English, Spanish",37,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
cad8d9ebec98,67cf04c2890670e459fbc8ef,APPROVED,Not Applicable,2025-03-10T15:27:52Z,2025-03-10T15:35:39Z,2025-03-10T15:35:40Z,2025-03-10T15:35:40Z,467,CLKQ470I,934,English,39,Male,White,United States,United States,Armenia,English,Yes,DATA_EXPIRED
9b542ba73a16,67cf04d96bc1d67bda1874d5,APPROVED,Not Applicable,2025-03-10T15:27:27Z,2025-03-10T15:36:42Z,2025-03-10T15:36:44Z,2025-03-10T15:36:44Z,556,CLKQ470I,454,"English, Spanish",28,Male,Other,United States,United States,United States,English,Yes,DATA_EXPIRED
189c989f3466,67cf04db8fa0cb9aa1afe0c5,APPROVED,Not Applicable,2025-03-10T15:27:32Z,2025-03-10T15:33:55Z,2025-03-10T15:33:58Z,2025-03-10T15:33:56Z,384,CLKQ470I,504,English,36,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
e45fed8458d2,67cf04df34784e3dcbf835bc,APPROVED,Not Applicable,2025-03-10T15:27:32Z,2025-03-10T15:31:49Z,2025-03-10T15:31:49Z,2025-03-10T15:31:49Z,257,CLKQ470I,2911,English,27,Female,Mixed,United States,United States,United States,English,No,Full-Time
39414b6b881c,67cf04ef78a8ecde8541db9b,APPROVED,Not Applicable,2025-03-10T15:28:12Z,2025-03-10T15:32:24Z,2025-03-10T15:32:26Z,2025-03-10T15:32:24Z,252,CLKQ470I,1820,English,41,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
094ed8a8aea2,67cf04f388ad3b5a5382d0f2,APPROVED,Not Applicable,2025-03-10T15:27:57Z,2025-03-10T15:34:39Z,2025-03-10T15:34:42Z,2025-03-10T15:34:40Z,403,CLKQ470I,2415,English,59,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
4f3294aa0535,67cf04f59de69719a26d391e,APPROVED,Not Applicable,2025-03-10T15:28:02Z,2025-03-10T15:34:24Z,2025-03-10T15:34:25Z,2025-03-10T15:34:25Z,383,CLKQ470I,1205,English,37,Male,White,United States,United States,United States,English,No,Full-Time
0e6ff97daa9b,67cf04f9cf03337d06ca7af8,APPROVED,Not Applicable,2025-03-10T15:28:00Z,2025-03-10T15:34:33Z,2025-03-10T15:34:34Z,2025-03-10T15:34:34Z,394,CLKQ470I,793,English,69,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
ff12a3524c1d,67cf04fd6206f007219178e5,APPROVED,Not Applicable,2025-03-10T15:28:19Z,2025-03-10T15:35:38Z,2025-03-10T15:35:39Z,2025-03-10T15:35:39Z,440,CLKQ470I,109,English,24,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
405bcda5399c,67cf04fe0909dcaa8192f6ed,APPROVED,Not Applicable,2025-03-10T15:30:01Z,2025-03-10T15:37:48Z,2025-03-10T15:37:49Z,2025-03-10T15:37:49Z,468,CLKQ470I,2286,English,36,Female,White,United States,United States,United States,English,No,Full-Time
d88b4646c920,67cf0503a6004977dba46e7d,APPROVED,Not Applicable,2025-03-10T15:28:09Z,2025-03-10T15:36:10Z,2025-03-10T15:36:13Z,2025-03-10T15:36:11Z,482,CLKQ470I,2204,English,61,Female,White,United States,United States,United States,English,No,Full-Time
